responden,jenis_kelamin,usia,pendidikan,penghasilan,aktivitas_meningkat_1,aktivitas_meningkat_2,aktivitas_meningkat_3,aktivitas_meningkat_4,aktivitas_meningkat_5,memiliki_akun_bank?,bank_pilihan_1,bank_pilihan_2,bank_pilihan_3,bank_pilihan_4,bank_pilihan_5,transfer_antar_bank,bayar_tagihan,keluhan_1,keluhan_2,keluhan_3
1161,Laki – laki,>50 tahun,S2,Rp 5 juta – Rp 10 juta,Berbelanja online,Streaming video/ film,,,,ya,,BCA,BNI,Mandiri,CIMB Niaga,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1162,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,Mandiri,CIMB Niaga,Mobile Banking,ATM,Layanan/ Sistem down,,
1163,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,,,
1164,Perempuan,15-20 tahun,SMA,tidak menjawab,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,BRI,,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1165,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,Melakukan konsultasi kesehatan secara online,ya,,,,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1166,Laki – laki,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,Proses tidak berhasil namun saldo terpotong,
1167,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,,,,,ya,,,,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1168,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,BRI,,BNI,Mandiri,,ATM,ATM,,Proses tidak berhasil namun saldo terpotong,
1169,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1170,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,Transaksi / pembayaran yang sama terjadi dua kali
1171,Laki – laki,15-20 tahun,SMA,> Rp 10 juta,,,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1172,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1173,Perempuan,15-20 tahun,S1,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,CIMB Niaga,Mobile Banking,Mobile Banking,,,
1174,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,Melakukan konsultasi kesehatan secara online,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1175,Laki – laki,21-30 tahun,S2,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,BRI,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1176,Perempuan,21-30 tahun,S1,Rp 5 juta – Rp 10 juta,,Streaming video/ film,,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1177,Perempuan,21-30 tahun,S1,Rp 5 juta – Rp 10 juta,,Streaming video/ film,,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1178,Perempuan,15-20 tahun,SMP,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,ya,,BCA,,,,ATM,ATM,,,
1179,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,,,,,ya,,BCA,,,,Internet Banking,Internet Banking,,,
1180,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,,,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,Proses tidak berhasil namun saldo terpotong,
1181,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,Proses tidak berhasil namun saldo terpotong,
1182,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Internet Banking,Internet Banking,,,
1183,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,BRI,,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1184,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,Melakukan konsultasi kesehatan secara online,ya,BRI,,BNI,,,ATM,ATM,Layanan/ Sistem down,Proses tidak berhasil namun saldo terpotong,
1185,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,Melakukan konsultasi kesehatan secara online,ya,BRI,,BNI,,,SMS Banking,Mobile Banking,Layanan/ Sistem down,,
1186,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1187,Laki – laki,15-20 tahun,S1,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1188,Perempuan,21-30 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,BRI,,BNI,,,ATM,Mobile Banking,Layanan/ Sistem down,,
1189,Laki – laki,21-30 tahun,S1,Rp 2 juta – Rp 5 juta,,,,Akses media sosial,,ya,BRI,,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1190,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,Mandiri,,ATM,ATM,Layanan/ Sistem down,,
1191,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,Melakukan konsultasi kesehatan secara online,ya,,BCA,,,,Mobile Banking,Mobile Banking,,,
1192,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1193,Perempuan,21-30 tahun,S1,Rp 5 juta – Rp 10 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,,Proses tidak berhasil namun saldo terpotong,
1194,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,ya,,,BNI,Mandiri,,Internet Banking,Internet Banking,Layanan/ Sistem down,,
1195,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,BRI,,,,,Mobile Banking,Mobile Banking,,Proses tidak berhasil namun saldo terpotong,
1196,Perempuan,21-30 tahun,S1,Rp 5 juta – Rp 10 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,BRI,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1197,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,Melakukan konsultasi kesehatan secara online,ya,,,,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,Transaksi / pembayaran yang sama terjadi dua kali
1198,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,,,Internet Banking,Internet Banking,Layanan/ Sistem down,,
1199,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,,,,ya,BRI,,,,,Internet Banking,Internet Banking,,,
1200,Perempuan,21-30 tahun,S1,Rp 5 juta – Rp 10 juta,,Streaming video/ film,,Akses media sosial,,ya,,BCA,BNI,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1201,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,ya,,,BNI,,,Mobile Banking,ATM,Layanan/ Sistem down,,
1202,Laki – laki,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,BNI,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1203,Perempuan,41-50 tahun,S1,> Rp 10 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,BRI,BCA,,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1204,Laki – laki,21-30 tahun,SMA,< Rp 2 juta,,,,,,ya,BRI,,,,,ATM,ATM,Layanan/ Sistem down,,
1205,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,Mandiri,,ATM,Datang ke cabang bank,,,
1206,Perempuan,41-50 tahun,SMA,Rp 5 juta – Rp 10 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,,,BNI,,,Mobile Banking,Mobile Banking,,,
1207,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,BRI,,,,,Mobile Banking,Mobile Banking,,,
1208,Laki – laki,21-30 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,Mandiri,,Internet Banking,Internet Banking,Layanan/ Sistem down,,
1209,Perempuan,>50 tahun,S1,< Rp 2 juta,Berbelanja online,,,,,ya,,BCA,,Mandiri,,Internet Banking,Internet Banking,Layanan/ Sistem down,,
1210,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,,,ya,,,BNI,,,Mobile Banking,Mobile Banking,,,
1211,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,BRI,,BNI,,,SMS Banking,SMS Banking,Layanan/ Sistem down,,
1212,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,,,ya,BRI,BCA,BNI,Mandiri,CIMB Niaga,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,Transaksi / pembayaran yang sama terjadi dua kali
1213,Perempuan,>50 tahun,S1,Rp 5 juta – Rp 10 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,,BCA,,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1214,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,,,,ya,,,,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,Proses tidak berhasil namun saldo terpotong,
1215,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,,,Akses media sosial,,ya,,,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1216,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,,,Mobile Banking,ATM,Layanan/ Sistem down,,
1217,Laki – laki,41-50 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1218,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,BRI,,,,,Mobile Banking,Mobile Banking,,,
1219,Laki – laki,41-50 tahun,S1,> Rp 10 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,BRI,BCA,BNI,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,Proses tidak berhasil namun saldo terpotong,
1220,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,,Akses media sosial,,ya,BRI,BCA,,,,Internet Banking,Internet Banking,Layanan/ Sistem down,,
1221,Laki – laki,>50 tahun,S2,Rp 5 juta – Rp 10 juta,,Streaming video/ film,,Akses media sosial,,ya,BRI,BCA,,,,Datang ke cabang bank,Datang ke cabang bank,Layanan/ Sistem down,,
1222,Perempuan,41-50 tahun,S1,> Rp 10 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,BRI,,BNI,,,Datang ke cabang bank,Datang ke cabang bank,Layanan/ Sistem down,,
1223,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,ya,,,BNI,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1224,Perempuan,15-20 tahun,S1,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1225,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,,,
1226,Laki – laki,21-30 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,BRI,,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1227,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,,BCA,,Mandiri,,Mobile Banking,Mobile Banking,,Proses tidak berhasil namun saldo terpotong,
1228,Laki – laki,< 15 tahun,SMP,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,BNI,,,ATM,Mobile Banking,Layanan/ Sistem down,,
1229,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1230,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1231,tidak menjawab,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,BRI,,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1232,Laki – laki,21-30 tahun,SMA,< Rp 2 juta,,,,,,ya,BRI,,,,,Mobile Banking,Datang ke cabang bank,Layanan/ Sistem down,,
1233,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,,,,ya,BRI,,,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1234,Perempuan,21-30 tahun,S1,Rp 5 juta – Rp 10 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,,,,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,Proses tidak berhasil namun saldo terpotong,
1235,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,Melakukan konsultasi kesehatan secara online,ya,,,,,,Mobile Banking,Mobile Banking,,,
1236,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,Mandiri,,ATM,ATM,Layanan/ Sistem down,,
1237,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,BRI,,BNI,,,SMS Banking,SMS Banking,Layanan/ Sistem down,Proses tidak berhasil namun saldo terpotong,
1238,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,,,Mobile Banking,Mobile Banking,,,
1239,Perempuan,15-20 tahun,S1,< Rp 2 juta,,,Mengikuti kelas online,,,ya,,,,,,Mobile Banking,Datang ke cabang bank,Layanan/ Sistem down,,
1240,tidak menjawab,tidak menjawab,tidak menjawab,tidak menjawab,,Streaming video/ film,,,,ya,BRI,,BNI,,,Internet Banking,Internet Banking,Layanan/ Sistem down,,
1241,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,,,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1242,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,,,
1243,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,,,BNI,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,Transaksi / pembayaran yang sama terjadi dua kali
1244,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,SMS Banking,Datang ke cabang bank,,,
1245,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,,,,ya,,,BNI,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1246,Laki – laki,31-40 tahun,S2,Rp 5 juta – Rp 10 juta,Berbelanja online,,Mengikuti kelas online,,,ya,BRI,BCA,BNI,Mandiri,CIMB Niaga,Internet Banking,Mobile Banking,Layanan/ Sistem down,Proses tidak berhasil namun saldo terpotong,
1247,Perempuan,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1248,Perempuan,15-20 tahun,S1,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,BNI,,,ATM,Datang ke cabang bank,,Proses tidak berhasil namun saldo terpotong,
1249,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,BNI,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,Proses tidak berhasil namun saldo terpotong,
1250,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,,,Akses media sosial,,ya,BRI,,,,,ATM,ATM,,,
1251,Laki – laki,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,BRI,,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1252,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,BRI,,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1253,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,BRI,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,Proses tidak berhasil namun saldo terpotong,
1254,Perempuan,21-30 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,Melakukan konsultasi kesehatan secara online,ya,,BCA,,Mandiri,,Internet Banking,Internet Banking,Layanan/ Sistem down,,
1255,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,,,,ya,BRI,,BNI,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1256,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,ya,,,BNI,Mandiri,,Internet Banking,Internet Banking,Layanan/ Sistem down,,
1257,Perempuan,21-30 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,BRI,,,,,ATM,ATM,,,
1258,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,,Akses media sosial,,ya,,,BNI,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,Proses tidak berhasil namun saldo terpotong,
1259,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,ya,,,,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1260,Laki – laki,>50 tahun,S3,> Rp 10 juta,,,,,,ya,BRI,,,Mandiri,,SMS Banking,Datang ke cabang bank,Layanan/ Sistem down,,
1261,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1262,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,,,Akses media sosial,,ya,,,,,,Internet Banking,Internet Banking,Layanan/ Sistem down,,
1263,Laki – laki,41-50 tahun,S2,> Rp 10 juta,,,,,,ya,,BCA,,Mandiri,CIMB Niaga,Internet Banking,Internet Banking,Layanan/ Sistem down,,
1264,Laki – laki,21-30 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1265,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,BRI,,,,,ATM,Mobile Banking,Layanan/ Sistem down,,
1266,Laki – laki,41-50 tahun,S2,> Rp 10 juta,,Streaming video/ film,,,,ya,,BCA,,,,Internet Banking,Internet Banking,Layanan/ Sistem down,,
1267,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,BNI,,,ATM,ATM,,,
1268,Laki – laki,>50 tahun,S1,Rp 2 juta – Rp 5 juta,,Streaming video/ film,,,,ya,BRI,,,Mandiri,,ATM,Datang ke cabang bank,Layanan/ Sistem down,Proses tidak berhasil namun saldo terpotong,
1269,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,ATM,Mobile Banking,,,
1270,Laki – laki,41-50 tahun,S1,> Rp 10 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,,BCA,,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1271,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,ya,,,BNI,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1272,Laki – laki,21-30 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,BRI,,,,,ATM,ATM,,Proses tidak berhasil namun saldo terpotong,
1273,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,BRI,,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,Proses tidak berhasil namun saldo terpotong,
1274,Perempuan,15-20 tahun,S1,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,BRI,,BNI,,,ATM,ATM,,,Transaksi / pembayaran yang sama terjadi dua kali
1275,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,,,,ya,BRI,,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,Proses tidak berhasil namun saldo terpotong,
1276,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,,Akses media sosial,,ya,,,BNI,Mandiri,,Datang ke cabang bank,Internet Banking,,,
1277,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,BRI,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1278,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,,Akses media sosial,,ya,,,BNI,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1279,Perempuan,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,BNI,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1280,Perempuan,15-20 tahun,S1,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1281,Perempuan,15-20 tahun,SMA,Rp 5 juta – Rp 10 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1282,Laki – laki,21-30 tahun,SMA,< Rp 2 juta,,Streaming video/ film,,Akses media sosial,,ya,,,BNI,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1283,Laki – laki,>50 tahun,S1,> Rp 10 juta,,,,Akses media sosial,,ya,,,BNI,,,Mobile Banking,Mobile Banking,,Proses tidak berhasil namun saldo terpotong,
1284,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,,Mandiri,,Internet Banking,Mobile Banking,,,
1285,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,ya,,BCA,,,,Mobile Banking,Mobile Banking,,,
1286,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,ya,,BCA,,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1287,Perempuan,41-50 tahun,S3,Rp 5 juta – Rp 10 juta,,,Mengikuti kelas online,Akses media sosial,,ya,,,BNI,,,Internet Banking,Internet Banking,Layanan/ Sistem down,Proses tidak berhasil namun saldo terpotong,
1288,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,,BCA,,,,Mobile Banking,Mobile Banking,,,
1289,Perempuan,41-50 tahun,SMA,> Rp 10 juta,Berbelanja online,,,Akses media sosial,,ya,,BCA,,Mandiri,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
1290,Laki – laki,15-20 tahun,SMA,> Rp 10 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,BRI,BCA,BNI,Mandiri,CIMB Niaga,Internet Banking,Internet Banking,Layanan/ Sistem down,,
1291,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,BNI,,,ATM,ATM,Layanan/ Sistem down,,
1292,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,BRI,,,,,ATM,ATM,Layanan/ Sistem down,,
1293,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,ya,,,BNI,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,Proses tidak berhasil namun saldo terpotong,
1294,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,,BNI,,,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
